NKChart,,,,,,,,,
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k,X of LawCompN [Wavelength (nm)],LawCompN - n,X of LawCompK [Wavelength (nm)],LawCompK - k
1698.834037,1.792437041,1698.834037,0.006898300381,,,,,,
1695.396845,1.794362252,1695.396845,0.006907789002,,,,,,
1691.959652,1.796282015,1691.959652,0.006917366441,,,,,,
1688.522459,1.798196352,1688.522459,0.006927033141,,,,,,
1685.085266,1.800105283,1685.085266,0.006936789548,,,,,,
1681.648074,1.802008828,1681.648074,0.006946636119,,,,,,
1678.210881,1.803907008,1678.210881,0.006956573318,,,,,,
1674.773688,1.805799844,1674.773688,0.006966601616,,,,,,
1671.336495,1.807687355,1671.336495,0.006976721494,,,,,,
1667.899303,1.809569561,1667.899303,0.006986933438,,,,,,
1664.46211,1.811446484,1664.46211,0.006997237945,,,,,,
1661.024917,1.813318142,1661.024917,0.007007635518,,,,,,
1657.587724,1.815184555,1657.587724,0.007018126669,,,,,,
1654.150532,1.817045744,1654.150532,0.00702871192,,,,,,
1650.713339,1.818901728,1650.713339,0.007039391799,,,,,,
1647.276146,1.820752527,1647.276146,0.007050166843,,,,,,
1643.838953,1.82259816,1643.838953,0.007061037598,,,,,,
1640.401761,1.824438646,1640.401761,0.00707200462,,,,,,
1636.964568,1.826274006,1636.964568,0.007083068471,,,,,,
1633.527375,1.828104258,1633.527375,0.007094229725,,,,,,
1630.090182,1.829929421,1630.090182,0.007105488963,,,,,,
1626.65299,1.831749515,1626.65299,0.007116846774,,,,,,
1623.215797,1.833564559,1623.215797,0.00712830376,,,,,,
1619.778604,1.835374572,1619.778604,0.007139860529,,,,,,
1616.341411,1.837179572,1616.341411,0.0071515177,,,,,,
1612.904219,1.838979579,1612.904219,0.0071632759,,,,,,
1609.467026,1.840774611,1609.467026,0.007175135767,,,,,,
1606.029833,1.842564687,1606.029833,0.007187097949,,,,,,
1602.59264,1.844349826,1602.59264,0.007199163102,,,,,,
1599.155447,1.846130046,1599.155447,0.007211331895,,,,,,
1595.718255,1.847905365,1595.718255,0.007223605004,,,,,,
1592.281062,1.849675803,1592.281062,0.007235983117,,,,,,
1588.843869,1.851441378,1588.843869,0.007248466932,,,,,,
1585.406676,1.853202108,1585.406676,0.007261057158,,,,,,
1581.969484,1.854958011,1581.969484,0.007273754513,,,,,,
1578.532291,1.856709106,1578.532291,0.007286559728,,,,,,
1575.095098,1.85845541,1575.095098,0.007299473543,,,,,,
1571.657905,1.860196942,1571.657905,0.00731249671,,,,,,
1568.220713,1.861933721,1568.220713,0.007325629992,,,,,,
1564.78352,1.863665763,1564.78352,0.007338874164,,,,,,
1561.346327,1.865393087,1561.346327,0.007352230011,,,,,,
1557.909134,1.867115711,1557.909134,0.007365698331,,,,,,
1554.471942,1.868833653,1554.471942,0.007379279932,,,,,,
1551.034749,1.870546931,1551.034749,0.007392975638,,,,,,
1547.597556,1.872255562,1547.597556,0.00740678628,,,,,,
1544.160363,1.873959565,1544.160363,0.007420712704,,,,,,
1540.723171,1.875658956,1540.723171,0.007434755769,,,,,,
1537.285978,1.877353755,1537.285978,0.007448916346,,,,,,
1533.848785,1.879043977,1533.848785,0.007463195317,,,,,,
1530.411592,1.880729642,1530.411592,0.007477593581,,,,,,
1526.9744,1.882410766,1526.9744,0.007492112046,,,,,,
1523.537207,1.884087368,1523.537207,0.007506751636,,,,,,
1520.100014,1.885759464,1520.100014,0.007521513287,,,,,,
1516.662821,1.887427072,1516.662821,0.00753639795,,,,,,
1513.225628,1.88909021,1513.225628,0.00755140659,,,,,,
1509.788436,1.890748895,1509.788436,0.007566540184,,,,,,
1506.351243,1.892403145,1506.351243,0.007581799728,,,,,,
1502.91405,1.894052977,1502.91405,0.007597186227,,,,,,
1499.476857,1.895698408,1499.476857,0.007612700704,,,,,,
1496.039665,1.897339456,1496.039665,0.007628344197,,,,,,
1492.602472,1.898976138,1492.602472,0.007644117759,,,,,,
1489.165279,1.900608472,1489.165279,0.007660022458,,,,,,
1485.728086,1.902236474,1485.728086,0.007676059377,,,,,,
1482.290894,1.903860162,1482.290894,0.007692229618,,,,,,
1478.853701,1.905479554,1478.853701,0.007708534295,,,,,,
1475.416508,1.907094666,1475.416508,0.007724974543,,,,,,
1471.979315,1.908705517,1471.979315,0.007741551509,,,,,,
1468.542123,1.910312122,1468.542123,0.007758266361,,,,,,
1465.10493,1.9119145,1465.10493,0.007775120282,,,,,,
1461.667737,1.913512668,1461.667737,0.007792114474,,,,,,
1458.230544,1.915106643,1458.230544,0.007809250155,,,,,,
1454.793352,1.916696443,1454.793352,0.007826528563,,,,,,
1451.356159,1.918282084,1451.356159,0.007843950952,,,,,,
1447.918966,1.919863583,1447.918966,0.007861518599,,,,,,
1444.481773,1.921440959,1444.481773,0.007879232795,,,,,,
1441.044581,1.923014229,1441.044581,0.007897094853,,,,,,
1437.607388,1.924583409,1437.607388,0.007915106106,,,,,,
1434.170195,1.926148517,1434.170195,0.007933267905,,,,,,
1430.733002,1.927709571,1430.733002,0.007951581623,,,,,,
1427.29581,1.929266587,1427.29581,0.007970048653,,,,,,
1423.858617,1.930819583,1423.858617,0.007988670409,,,,,,
1420.421424,1.932368577,1420.421424,0.008007448327,,,,,,
1416.984231,1.933913586,1416.984231,0.008026383863,,,,,,
1413.547038,1.935454627,1413.547038,0.008045478497,,,,,,
1410.109846,1.936991718,1410.109846,0.008064733729,,,,,,
1406.672653,1.938524876,1406.672653,0.008084151086,,,,,,
1403.23546,1.940054118,1403.23546,0.008103732113,,,,,,
1399.798267,1.941579463,1399.798267,0.008123478382,,,,,,
1396.361075,1.943100928,1396.361075,0.008143391489,,,,,,
1392.923882,1.94461853,1392.923882,0.008163473052,,,,,,
1389.486689,1.946132286,1389.486689,0.008183724718,,,,,,
1386.049496,1.947642216,1386.049496,0.008204148154,,,,,,
1382.612304,1.949148336,1382.612304,0.008224745058,,,,,,
1379.175111,1.950650664,1379.175111,0.008245517151,,,,,,
1375.737918,1.952149217,1375.737918,0.00826646618,,,,,,
1372.300725,1.953644015,1372.300725,0.008287593923,,,,,,
1368.863533,1.955135074,1368.863533,0.008308902183,,,,,,
1365.42634,1.956622413,1365.42634,0.00833039279,,,,,,
1361.989147,1.958106049,1361.989147,0.008352067606,,,,,,
1358.551954,1.959586001,1358.551954,0.008373928519,,,,,,
1355.114762,1.961062286,1355.114762,0.008395977449,,,,,,
1351.677569,1.962534924,1351.677569,0.008418216346,,,,,,
1348.240376,1.964003931,1348.240376,0.008440647188,,,,,,
1344.803183,1.965469327,1344.803183,0.00846327199,,,,,,
1341.365991,1.966931129,1341.365991,0.008486092793,,,,,,
1337.928798,1.968389357,1337.928798,0.008509111675,,,,,,
1334.491605,1.969844028,1334.491605,0.008532330744,,,,,,
1331.054412,1.971295162,1331.054412,0.008555752145,,,,,,
1327.617219,1.972742776,1327.617219,0.008579378056,,,,,,
1324.180027,1.974186891,1324.180027,0.00860321069,,,,,,
1320.742834,1.975627523,1320.742834,0.008627252295,,,,,,
1317.305641,1.977064693,1317.305641,0.008651505157,,,,,,
1313.868448,1.97849842,1313.868448,0.008675971599,,,,,,
1310.431256,1.979928721,1310.431256,0.008700653982,,,,,,
1306.994063,1.981355618,1306.994063,0.008725554705,,,,,,
1303.55687,1.982779128,1303.55687,0.008750676207,,,,,,
1300.119677,1.984199272,1300.119677,0.008776020968,,,,,,
1296.682485,1.985616069,1296.682485,0.008801591507,,,,,,
1293.245292,1.987029538,1293.245292,0.008827390387,,,,,,
1289.808099,1.988439699,1289.808099,0.008853420212,,,,,,
1286.370906,1.989846572,1286.370906,0.008879683631,,,,,,
1282.933714,1.991250176,1282.933714,0.008906183337,,,,,,
1279.496521,1.992650533,1279.496521,0.008932922068,,,,,,
1276.059328,1.994047662,1276.059328,0.008959902607,,,,,,
1272.622135,1.995441583,1272.622135,0.008987127788,,,,,,
1269.184943,1.996832317,1269.184943,0.009014600488,,,,,,
1265.74775,1.998219884,1265.74775,0.009042323639,,,,,,
1262.310557,1.999604305,1262.310557,0.009070300218,,,,,,
1258.873364,2.000985602,1258.873364,0.009098533255,,,,,,
1255.436172,2.002363794,1255.436172,0.009127025834,,,,,,
1251.998979,2.003738903,1251.998979,0.009155781091,,,,,,
1248.561786,2.00511095,1248.561786,0.009184802215,,,,,,
1245.124593,2.006479958,1245.124593,0.009214092454,,,,,,
1241.687401,2.007845946,1241.687401,0.00924365511,,,,,,
1238.250208,2.009208938,1238.250208,0.009273493544,,,,,,
1234.813015,2.010568955,1234.813015,0.009303611177,,,,,,
1231.375822,2.011926019,1231.375822,0.009334011489,,,,,,
1227.938629,2.013280152,1227.938629,0.009364698024,,,,,,
1224.501437,2.014631378,1224.501437,0.009395674387,,,,,,
1221.064244,2.015979718,1221.064244,0.009426944249,,,,,,
1217.627051,2.017325195,1217.627051,0.009458511347,,,,,,
1214.189858,2.018667833,1214.189858,0.009490379485,,,,,,
1210.752666,2.020007655,1210.752666,0.009522552537,,,,,,
1207.315473,2.021344684,1207.315473,0.009555034445,,,,,,
1203.87828,2.022678944,1203.87828,0.009587829226,,,,,,
1200.441087,2.024010458,1200.441087,0.009620940969,,,,,,
1197.003895,2.025339252,1197.003895,0.009654373838,,,,,,
1193.566702,2.026665348,1193.566702,0.009688132077,,,,,,
1190.129509,2.027988773,1190.129509,0.009722220004,,,,,,
1186.692316,2.02930955,1186.692316,0.009756642022,,,,,,
1183.255124,2.030627704,1183.255124,0.009791402614,,,,,,
1179.817931,2.031943262,1179.817931,0.009826506348,,,,,,
1176.380738,2.033256247,1176.380738,0.009861957878,,,,,,
1172.943545,2.034566687,1172.943545,0.009897761947,,,,,,
1169.506353,2.035874608,1169.506353,0.009933923389,,,,,,
1166.06916,2.037180035,1166.06916,0.009970447127,,,,,,
1162.631967,2.038482995,1162.631967,0.01000733818,,,,,,
1159.194774,2.039783515,1159.194774,0.01004460167,,,,,,
1155.757582,2.041081623,1155.757582,0.01008224281,,,,,,
1152.320389,2.042377346,1152.320389,0.01012026692,,,,,,
1148.883196,2.043670712,1148.883196,0.01015867942,,,,,,
1145.446003,2.044961748,1145.446003,0.01019748584,,,,,,
1142.008811,2.046250485,1142.008811,0.01023669181,,,,,,
1138.571618,2.047536949,1138.571618,0.01027630309,,,,,,
1135.134425,2.04882117,1135.134425,0.01031632554,,,,,,
1131.697232,2.050103179,1131.697232,0.01035676513,,,,,,
1128.260039,2.051383004,1128.260039,0.01039762798,,,,,,
1124.822847,2.052660676,1124.822847,0.0104389203,,,,,,
1121.385654,2.053936225,1121.385654,0.01048064845,,,,,,
1117.948461,2.055209683,1117.948461,0.0105228189,,,,,,
1114.511268,2.05648108,1114.511268,0.01056543827,,,,,,
1111.074076,2.057750449,1111.074076,0.0106085133,,,,,,
1107.636883,2.059017822,1107.636883,0.01065205089,,,,,,
1104.19969,2.060283231,1104.19969,0.01069605807,,,,,,
1100.762497,2.061546709,1100.762497,0.010740542,,,,,,
1097.325305,2.06280829,1097.325305,0.01078551003,,,,,,
1093.888112,2.064068008,1093.888112,0.01083096964,,,,,,
1090.450919,2.065325896,1090.450919,0.01087692846,,,,,,
1087.013726,2.066581991,1087.013726,0.0109233943,,,,,,
1083.576534,2.067836326,1083.576534,0.01097037513,,,,,,
1080.139341,2.069088939,1080.139341,0.01101787909,,,,,,
1076.702148,2.070339864,1076.702148,0.01106591451,,,,,,
1073.264955,2.07158914,1073.264955,0.01111448987,,,,,,
1069.827763,2.072836804,1069.827763,0.01116361386,,,,,,
1066.39057,2.074082892,1066.39057,0.01121329536,,,,,,
1062.953377,2.075327445,1062.953377,0.01126354343,,,,,,
1059.516184,2.0765705,1059.516184,0.01131436735,,,,,,
1056.078992,2.077812098,1056.078992,0.01136577659,,,,,,
1052.641799,2.079052279,1052.641799,0.01141778084,,,,,,
1049.204606,2.080291084,1049.204606,0.01147039001,,,,,,
1045.767413,2.081528553,1045.767413,0.01152361423,,,,,,
1042.33022,2.08276473,1042.33022,0.01157746386,,,,,,
1038.893028,2.083999656,1038.893028,0.01163194949,,,,,,
1035.455835,2.085233376,1035.455835,0.01168708198,,,,,,
1032.018642,2.086465934,1032.018642,0.0117428724,,,,,,
1028.581449,2.087697374,1028.581449,0.01179933211,,,,,,
1025.144257,2.088927742,1025.144257,0.01185647273,,,,,,
1021.707064,2.090157084,1021.707064,0.01191430614,,,,,,
1018.269871,2.091385448,1018.269871,0.0119728445,,,,,,
1014.832678,2.092612881,1014.832678,0.01203210028,,,,,,
1011.395486,2.093839432,1011.395486,0.01209208622,,,,,,
1007.958293,2.095065151,1007.958293,0.01215281538,,,,,,
1004.5211,2.096290088,1004.5211,0.01221430115,,,,,,
1001.083907,2.097514293,1001.083907,0.01227655721,,,,,,
997.6467146,2.09873782,997.6467146,0.0123395976,,,,,,
994.2095219,2.099960721,994.2095219,0.0124034367,,,,,,
990.7723291,2.101183051,990.7723291,0.01246808924,,,,,,
989.2676765,2.101717967,989.2676765,0.01249665113,,,,,,
988.484573,2.101996329,988.484573,0.01251157954,,,,,,
987.7014696,2.102274666,987.7014696,0.01252655149,,,,,,
986.9183661,2.102552979,986.9183661,0.01254156716,,,,,,
986.1352627,2.102831268,986.1352627,0.01255662674,,,,,,
985.3521592,2.103109535,985.3521592,0.01257173042,,,,,,
984.5690557,2.103387779,984.5690557,0.01258687837,,,,,,
983.7859523,2.103666002,983.7859523,0.0126020708,,,,,,
983.0028488,2.103944203,983.0028488,0.01261730788,,,,,,
982.2197454,2.104222385,982.2197454,0.01263258982,,,,,,
981.4366419,2.104500547,981.4366419,0.01264791679,,,,,,
980.6535384,2.10477869,980.6535384,0.012663289,,,,,,
979.870435,2.105056815,979.870435,0.01267870664,,,,,,
979.0873315,2.105334923,979.0873315,0.01269416991,,,,,,
978.3042281,2.105613013,978.3042281,0.01270967899,,,,,,
977.5211246,2.105891088,977.5211246,0.01272523409,,,,,,
976.7380211,2.106169148,976.7380211,0.0127408354,,,,,,
975.9549177,2.106447192,975.9549177,0.01275648313,,,,,,
975.1718142,2.106725223,975.1718142,0.01277217748,,,,,,
974.3887108,2.107003241,974.3887108,0.01278791864,,,,,,
973.6056073,2.107281246,973.6056073,0.01280370683,,,,,,
972.8225038,2.107559239,972.8225038,0.01281954223,,,,,,
972.0394004,2.107837221,972.0394004,0.01283542507,,,,,,
971.2562969,2.108115193,971.2562969,0.01285135555,,,,,,
970.4731935,2.108393155,970.4731935,0.01286733386,,,,,,
969.69009,2.108671109,969.69009,0.01288336024,,,,,,
968.9069866,2.108949054,968.9069866,0.01289943487,,,,,,
968.1238831,2.109226991,968.1238831,0.01291555798,,,,,,
967.3407796,2.109504922,967.3407796,0.01293172978,,,,,,
966.5576762,2.109782847,966.5576762,0.01294795048,,,,,,
965.7745727,2.110060767,965.7745727,0.01296422029,,,,,,
964.9914693,2.110338682,964.9914693,0.01298053944,,,,,,
964.2083658,2.110616594,964.2083658,0.01299690814,,,,,,
963.4252623,2.110894502,963.4252623,0.01301332661,,,,,,
962.6421589,2.111172408,962.6421589,0.01302979507,,,,,,
961.8590554,2.111450313,961.8590554,0.01304631374,,,,,,
961.075952,2.111728217,961.075952,0.01306288285,,,,,,
960.2928485,2.112006122,960.2928485,0.01307950261,,,,,,
959.509745,2.112284027,959.509745,0.01309617326,,,,,,
958.7266416,2.112561933,958.7266416,0.01311289502,,,,,,
957.9435381,2.112839842,957.9435381,0.01312966812,,,,,,
957.1604347,2.113117754,957.1604347,0.01314649279,,,,,,
956.3773312,2.11339567,956.3773312,0.01316336925,,,,,,
955.5942277,2.113673591,955.5942277,0.01318029775,,,,,,
954.8111243,2.113951518,954.8111243,0.01319727852,,,,,,
954.0280208,2.11422945,954.0280208,0.01321431178,,,,,,
953.2449174,2.11450739,953.2449174,0.01323139779,,,,,,
952.4618139,2.114785338,952.4618139,0.01324853676,,,,,,
951.6787104,2.115063294,951.6787104,0.01326572896,,,,,,
950.895607,2.11534126,950.895607,0.0132829746,,,,,,
950.1125035,2.115619237,950.1125035,0.01330027395,,,,,,
949.3294001,2.115897224,949.3294001,0.01331762723,,,,,,
948.5462966,2.116175223,948.5462966,0.01333503471,,,,,,
947.7631932,2.116453236,947.7631932,0.01335249661,,,,,,
946.9800897,2.116731261,946.9800897,0.0133700132,,,,,,
946.1969862,2.117009302,946.1969862,0.01338758472,,,,,,
945.4138828,2.117287357,945.4138828,0.01340521142,,,,,,
944.6307793,2.117565429,944.6307793,0.01342289355,,,,,,
943.8476759,2.117843517,943.8476759,0.01344063138,,,,,,
943.0645724,2.118121624,943.0645724,0.01345842515,,,,,,
942.2814689,2.118399749,942.2814689,0.01347627512,,,,,,
941.4983655,2.118677893,941.4983655,0.01349418155,,,,,,
940.715262,2.118956058,940.715262,0.0135121447,,,,,,
939.9321586,2.119234244,939.9321586,0.01353016484,,,,,,
939.1490551,2.119512453,939.1490551,0.01354824222,,,,,,
938.3659516,2.119790684,938.3659516,0.01356637712,,,,,,
937.5828482,2.120068938,937.5828482,0.01358456979,,,,,,
936.7997447,2.120347218,936.7997447,0.01360282052,,,,,,
936.0166413,2.120625523,936.0166413,0.01362112956,,,,,,
935.2335378,2.120903855,935.2335378,0.0136394972,,,,,,
934.4504343,2.121182214,934.4504343,0.01365792369,,,,,,
933.6673309,2.121460601,933.6673309,0.01367640933,,,,,,
932.8842274,2.121739017,932.8842274,0.01369495438,,,,,,
932.101124,2.122017463,932.101124,0.01371355913,,,,,,
931.3180205,2.122295941,931.3180205,0.01373222385,,,,,,
930.534917,2.12257445,930.534917,0.01375094884,,,,,,
929.7518136,2.122852991,929.7518136,0.01376973436,,,,,,
928.9687101,2.123131567,928.9687101,0.01378858071,,,,,,
928.1856067,2.123410177,928.1856067,0.01380748818,,,,,,
927.4025032,2.123688822,927.4025032,0.01382645705,,,,,,
926.6193998,2.123967504,926.6193998,0.01384548761,,,,,,
925.8362963,2.124246224,925.8362963,0.01386458017,,,,,,
925.0531928,2.124524981,925.0531928,0.01388373501,,,,,,
924.2700894,2.124803778,924.2700894,0.01390295243,,,,,,
923.4869859,2.125082615,923.4869859,0.01392223273,,,,,,
922.7038825,2.125361493,922.7038825,0.0139415762,,,,,,
921.920779,2.125640413,921.920779,0.01396098316,,,,,,
921.1376755,2.125919377,921.1376755,0.01398045391,,,,,,
920.3545721,2.126198384,920.3545721,0.01399998875,,,,,,
919.5714686,2.126477436,919.5714686,0.01401958799,,,,,,
918.7883652,2.126756534,918.7883652,0.01403925194,,,,,,
918.0052617,2.12703568,918.0052617,0.01405898091,,,,,,
917.2221582,2.127314873,917.2221582,0.01407877522,,,,,,
916.4390548,2.127594115,916.4390548,0.01409863518,,,,,,
915.6559513,2.127873406,915.6559513,0.01411856112,,,,,,
914.8728479,2.128152749,914.8728479,0.01413855334,,,,,,
914.0897444,2.128432144,914.0897444,0.01415861218,,,,,,
913.3066409,2.128711591,913.3066409,0.01417873796,,,,,,
912.5235375,2.128991093,912.5235375,0.014198931,,,,,,
911.740434,2.129270649,911.740434,0.01421919164,,,,,,
910.9573306,2.129550261,910.9573306,0.0142395202,,,,,,
910.1742271,2.129829931,910.1742271,0.01425991702,,,,,,
909.3911236,2.130109658,909.3911236,0.01428038242,,,,,,
908.6080202,2.130389444,908.6080202,0.01430091676,,,,,,
907.8249167,2.130669291,907.8249167,0.01432152037,,,,,,
907.0418133,2.130949198,907.0418133,0.01434219358,,,,,,
906.2587098,2.131229168,906.2587098,0.01436293675,,,,,,
905.4756064,2.131509201,905.4756064,0.01438375022,,,,,,
904.6925029,2.131789298,904.6925029,0.01440463433,,,,,,
903.9093994,2.13206946,903.9093994,0.01442558945,,,,,,
903.126296,2.132349689,903.126296,0.01444661591,,,,,,
902.3431925,2.132629986,902.3431925,0.01446771409,,,,,,
901.5600891,2.132910351,901.5600891,0.01448888432,,,,,,
900.7769856,2.133190785,900.7769856,0.01451012698,,,,,,
899.9938821,2.133471291,899.9938821,0.01453144243,,,,,,
899.2107787,2.133751868,899.2107787,0.01455283102,,,,,,
898.4276752,2.134032518,898.4276752,0.01457429314,,,,,,
897.6445718,2.134313242,897.6445718,0.01459582914,,,,,,
896.8614683,2.134594042,896.8614683,0.0146174394,,,,,,
896.0783648,2.134874917,896.0783648,0.0146391243,,,,,,
895.2952614,2.13515587,895.2952614,0.0146608842,,,,,,
894.5121579,2.135436902,894.5121579,0.0146827195,,,,,,
893.7290545,2.135718013,893.7290545,0.01470463057,,,,,,
892.945951,2.135999205,892.945951,0.01472661779,,,,,,
892.1628475,2.136280479,892.1628475,0.01474868156,,,,,,
891.3797441,2.136561837,891.3797441,0.01477082226,,,,,,
890.5966406,2.136843278,890.5966406,0.01479304029,,,,,,
889.8135372,2.137124805,889.8135372,0.01481533604,,,,,,
889.0304337,2.137406419,889.0304337,0.01483770991,,,,,,
888.2473302,2.13768812,888.2473302,0.0148601623,,,,,,
887.4642268,2.13796991,887.4642268,0.0148826936,,,,,,
886.6811233,2.138251791,886.6811233,0.01490530424,,,,,,
885.8980199,2.138533763,885.8980199,0.01492799461,,,,,,
885.1149164,2.138815827,885.1149164,0.01495076513,,,,,,
884.331813,2.139097985,884.331813,0.01497361621,,,,,,
883.5487095,2.139380238,883.5487095,0.01499654827,,,,,,
882.765606,2.139662587,882.765606,0.01501956173,,,,,,
881.9825026,2.139945034,881.9825026,0.01504265701,,,,,,
881.1993991,2.140227579,881.1993991,0.01506583454,,,,,,
880.4162957,2.140510224,880.4162957,0.01508909474,,,,,,
879.6331922,2.140792971,879.6331922,0.01511243804,,,,,,
878.8500887,2.141075819,878.8500887,0.01513586489,,,,,,
878.0669853,2.141358771,878.0669853,0.01515937572,,,,,,
877.2838818,2.141641828,877.2838818,0.01518297096,,,,,,
876.5007784,2.141924992,876.5007784,0.01520665106,,,,,,
875.7176749,2.142208262,875.7176749,0.01523041648,,,,,,
874.9345714,2.142491642,874.9345714,0.01525426765,,,,,,
874.151468,2.142775131,874.151468,0.01527820503,,,,,,
873.3683645,2.143058732,873.3683645,0.01530222908,,,,,,
872.5852611,2.143342445,872.5852611,0.01532634025,,,,,,
871.8021576,2.143626272,871.8021576,0.01535053902,,,,,,
871.0190541,2.143910215,871.0190541,0.01537482583,,,,,,
870.2359507,2.144194274,870.2359507,0.01539920117,,,,,,
869.4528472,2.14447845,869.4528472,0.0154236655,,,,,,
868.6697438,2.144762746,868.6697438,0.0154482193,,,,,,
867.8866403,2.145047163,867.8866403,0.01547286305,,,,,,
867.1035369,2.145331701,867.1035369,0.01549759722,,,,,,
866.3204334,2.145616363,866.3204334,0.01552242232,,,,,,
865.5373299,2.145901149,865.5373299,0.01554733881,,,,,,
864.7542265,2.146186061,864.7542265,0.01557234721,,,,,,
863.971123,2.146471101,863.971123,0.01559744799,,,,,,
863.1880196,2.146756269,863.1880196,0.01562264167,,,,,,
862.4049161,2.147041568,862.4049161,0.01564792874,,,,,,
861.6218126,2.147326998,861.6218126,0.01567330972,,,,,,
860.8387092,2.14761256,860.8387092,0.0156987851,,,,,,
860.0556057,2.147898258,860.0556057,0.01572435541,,,,,,
859.2725023,2.148184091,859.2725023,0.01575002116,,,,,,
858.4893988,2.148470061,858.4893988,0.01577578288,,,,,,
857.7062953,2.14875617,857.7062953,0.01580164108,,,,,,
856.9231919,2.149042419,856.9231919,0.0158275963,,,,,,
856.1400884,2.14932881,856.1400884,0.01585364907,,,,,,
855.356985,2.149615343,855.356985,0.01587979992,,,,,,
854.5738815,2.149902021,854.5738815,0.0159060494,,,,,,
853.790778,2.150188845,853.790778,0.01593239806,,,,,,
853.0076746,2.150475817,853.0076746,0.01595884642,,,,,,
