Sample ID,reduction time (s),A (mm^2),ΔL,Δa,Δb,R_initial,R_final,% change R,coulombs/mm^2,coulombs/square, current [uA]
ITOSA2_ai,60,104.423,-7.39,5.65,11.41,63.7851894,33.85500723,-46.92340408,0.0001723758176,172.3758176, 300
ITOSA2_aii,60,94.188,-4.79,4.59,7.86,63.7851894,33.67638672,-47.20343854,0.0001911071474,191.1071474, 300
ITOSA2_bi,90,84.883,-10.74,8.71,13.37,57.74383666,33.69896049,-41.64059329,0.0003180848933,318.0848933, 300
ITOSA2_bii,90,67.883,-9.21,6.92,12.84,57.74383666,36.86199632,-36.16289036,0.0003977431758,397.7431758, 300
ITOSA2_ci,120,33.856,-28.45,11.15,15.27,81.62506159,134.1714763,64.37534469,0.001063327032,1063.327032, 300
ITOSA2_cii,120,68.437,-15.17,10.11,17.69,81.62506159,43.24297268,-47.02243179,0.0005260312404,526.0312404, 300
ITOSA2_fi,150,39.233,-23.3,6.91,7.3,76.74700391,91.68032348,19.45785348,0.001146993602,1146.993602, 300
ITOSA2_fii,150,74.982,-15.68,10.49,15.94,76.74700391,48.48574415,-36.82392579,0.0006001440346,600.1440346, 300
ITOSA2_gi,180,79.414,-19,11.46,18.23,65.78348919,49.5722227,-24.64336673,0.0006799808598,679.9808598, 300
ITOSA2_gii,180,89.739,-19.8,10.2,16.79,65.78348919,43.62309349,-33.68686577,0.0006017450607,601.7450607, 300
ITOSA3_ai,60,77.232,-15.1,8.39,11.04,,,,0.0002330640149,233.0640149, 300
ITOSA3_aii,90,70.755,-17.55,9.95,15.26,,,,0.0003815984736,381.5984736, 300
ITOSA3_bi,120,67.084,-13.5,11.51,18.8,,,,0.0005366406297,536.6406297, 300
ITOSA3_bii,150,66.558,-16.66,9.97,16.5,,,,0.0006761020463,676.1020463, 300
ITOSA3_ci,180,90.893,-27.04,10.5,11.82,,,,0.0005941051566,594.1051566, 300
ITOSA3_cii,60,84.452,-16.98,11.05,17.54,,,,0.0004262776488,426.2776488, 600
ITOSA3_di,90,109.103,-13.71,10.08,15.12,,,,0.0004949451436,494.9451436, 600
ITOSA3_dii,120,97.7,-22.37,10.15,13.52,,,,0.0007369498465,736.9498465, 600
ITOSA3_fi,150,90.96,-23.27,8.35,15.29,,,,0.0009894459103,989.4459103, 600
ITOSA3_fii,180,103.587,-22.8,9.84,15.15,,,,0.001042601871,1042.601871, 600